timesteps,env_index,episode_return,episode_length,condition,v_lv_pu,vdc_pu,envelope_violation_pu,fault_lv_band_violation_pu,recovery_violation_pu,grid_current_violation_pu,final_action_max_abs,final_raw_action_max_abs,final_projection_delta_norm,final_support_violation,final_safety_gap,cost_tracking_sum,cost_unbalance_sum,cost_vdc_soft_sum,cost_vdc_bounds_sum,cost_envelope_sum,cost_fault_band_sum,cost_recovery_sum,cost_topology2_dynamic_sum,cost_calibrated_survival_sum,cost_support_sum,cost_support_for_reward_sum,cost_reactive_shortfall_sum,cost_reactive_wrong_sign_sum,cost_grid_current_sum,cost_reg_action_sum,cost_energy_action_sum,cost_slew_sum,cost_safety_sum,cost_teacher_gap_sum,cost_action_limit_sum,action_max_abs_max,raw_action_max_abs_max,projection_delta_norm_max,support_violation_max,safety_gap_max,envelope_violation_max_seen_pu,fault_band_violation_max_seen_pu,recovery_violation_max_seen_pu
10813,1,-433811.7204284668,203,nominal,0.9780710329547392,0.8035270243231826,0.0,nan,0.0361701745522283,nan,0.5099391341209412,0.5099391341209412,0.0,238.68063489297415,0.0,1.1071067332042526,1.8067432138656554,3.1175629813043306,22.650026405997643,0.45659910590690794,0.12704384787030543,0.3295552580366025,2386.5522701491154,22.90294827469178,29362676.578493558,812.0,39.10700826997036,83.0,0.0,51.60764365399389,148.87550780993092,325.2155169736561,0.0,0.0,0.0,0.9463030695915222,0.9463030695915222,0.0,628.2668072763541,0.0,0.0,0.0934955930316452,0.0997739174918329
10813,2,-504155.71517944336,203,nominal,0.9831211715678068,1.0138794711555688,0.0,nan,0.0,nan,0.7596998810768127,0.7596998810768127,0.0,132.82075702102298,0.0,1.631584667617554,3.1459175356177607,3.988992701148897,27.398249880095538,1.0015803479889087,0.34959052042586636,0.6519898275630429,2369.9303675216524,28.01085239627293,30180852.35408908,812.0,56.07148738116312,112.0,0.0,54.03240514223594,157.46282642953852,332.40921235934434,0.0,0.0,0.0,0.9485182166099548,0.9485182166099548,0.0,622.1304095744287,0.0,0.0,0.0934955930316452,0.0997739174918329
10813,3,-427464.96810913086,203,nominal,0.9131016707901161,0.6789862544398925,0.0,nan,0.0899168983080803,nan,0.8249510526657104,0.8249510526657104,0.0,547.609092122915,0.0,1.103599258420719,2.03880877634026,3.0342989114320544,22.20858902067852,0.463584713517913,0.1302346890113087,0.33335002450660417,2228.6376175761575,22.4707929988442,28077830.90845563,812.0,41.51911592542135,90.0,0.0,51.51864577909453,147.1928077444142,306.9075883915916,0.0,0.0,0.0,0.9431999325752258,0.9431999325752258,0.0,626.5004984736797,0.0,0.0,0.0934955930316452,0.112543353011077
10893,0,-445871.77630615234,223,nominal,1.0074221192298696,0.9215566508603962,0.0,nan,0.0,nan,0.9311155676841736,0.9311155676841736,0.0,50.38934213043949,0.0,1.6087522089647084,2.1504032518975142,4.246284795964881,22.563381033196027,0.7979165402144252,0.2655955059115291,0.5323210343028948,2890.846285410885,23.021687682128256,310063.4310587742,892.0,52.31999950180358,112.0,0.0,56.73507766311127,169.82427802827743,390.8881192075555,0.0,0.0,0.0,0.9486644864082336,0.9486644864082336,0.0,62.1171565975451,0.0,0.0,0.0934955930316452,0.108540517682949
11545,1,-315887.06170654297,183,nominal,1.0521070416483864,1.042419759884032,0.0,nan,0.00165347580654612,nan,0.7946301102638245,0.7946301102638245,0.0,40.41293662699625,0.0,1.0329029047480442,1.4721101942706813,2.025646684400887,15.01353128795543,0.38166626588728764,0.12273897703622197,0.2589272888510655,2244.9852273799283,15.26629954949169,260590.5773581312,731.210817529389,27.0870240973951,55.0,0.0,45.62006922544376,142.7790496341798,312.8692547636192,0.0,0.0,0.0,0.9450519680976868,0.9450519680976868,0.0,62.563792119612685,0.0,0.0,0.0934955930316452,0.100958083864723
11545,3,-332031.2182312012,183,nominal,0.9932011046371401,0.8904581647821,0.0,nan,0.0,nan,0.9199686646461487,0.9199686646461487,0.0,49.90480220106678,0.0,1.184923062030464,2.5541313603717004,2.319055767526782,16.33887430006466,0.5185113190115048,0.17367040675761042,0.3448409122538945,2183.966110326167,16.694371508680018,258798.83784060107,732.0,35.1019890038408,75.0,0.0,46.699195917956125,137.42781670936043,313.16792002617206,0.0,0.0,0.0,0.9464475512504578,0.9464475512504578,0.0,62.31902345038419,0.0,0.0,0.0934955930316452,0.100958083864723
11625,0,-306305.103515625,183,nominal,1.006509964859652,0.9237986649945963,0.0,nan,0.0,nan,0.6221632361412048,0.6221632361412048,0.0,39.532871932925914,0.0,1.0216391466990582,1.6739691061085056,1.8060134563311168,14.41730502735882,0.35622337352234157,0.11074859006379534,0.24547478345854623,2269.9415370182587,14.651579953919462,262720.6466917507,728.5262473788739,30.824454669550413,63.0,0.0,49.848846562419844,143.00851375529507,310.26784641848883,0.0,0.0,0.0,0.9450826048851013,0.9450826048851013,0.0,61.90612849075385,0.0,0.0,0.0934955930316452,0.100958083864723
11625,2,-497979.4569091797,203,nominal,1.0016835680332077,0.9093898891151888,0.0,nan,0.0,nan,0.876447856426239,0.876447856426239,0.0,581.837651183375,0.0,1.6752049003146914,3.133413018447101,3.9573077808831063,26.90547229426254,1.1366963617899568,0.41207873144565543,0.7246176303443013,2461.4049944273265,27.614226025241425,29109227.880621724,812.0,59.359154380286014,118.0,0.0,55.59385721859343,145.87553393982375,343.95872417264167,0.0,0.0,0.0,0.9456015229225159,0.9456015229225159,0.0,627.7840650871351,0.0,0.0,0.0934955930316452,0.112543353011077
12437,0,-385455.58920288086,203,nominal,0.8425052021522367,1.0744537074615064,0.0,nan,0.0997739174918329,nan,0.7639166712760925,0.7639166712760925,0.0,507.3709069005036,0.0,1.2486784502641124,2.0463970174188897,2.4457003100261385,18.9932675327414,0.5522265033272632,0.19336075626000387,0.3588657470672594,2524.127267299101,19.344717668783623,30426852.570389006,812.0,42.73606818813718,87.0,0.0,51.279936904088515,158.142257702673,336.76162163686854,0.0,0.0,0.0,0.9478117823600769,0.9478117823600769,0.0,629.1144307801054,0.0,0.0,0.0934955930316452,0.0997739174918329
12437,1,-472408.02423095703,223,nominal,1.006334140372773,0.9202011328133876,0.0,nan,0.0,nan,0.7468440532684326,0.7468440532684326,0.0,49.86090160429402,0.0,1.9825434958656878,3.6979207101560143,4.921810197864722,24.296730909966158,1.1727411141559232,0.4394808624761633,0.7332602516797602,2652.7993194133323,25.046164202734925,335536.9611081897,892.0,63.07117324517378,132.0,0.0,54.24789188225866,180.62602847578347,359.56447598120957,0.0,0.0,0.0,0.9483452439308167,0.9483452439308167,0.0,62.45018505856441,0.0,0.0,0.0934955930316452,0.108540517682949
