t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
1.52,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.54,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.56,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.58,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.6,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.62,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.64,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.66,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.68,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.7,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.72,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.74,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.76,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.78,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.8,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
1.82,0.9217,0.0,0.0144,0.0,0.0357,0.9227,0.9217,normal,0
